,loss,accuracy,val_loss,val_accuracy
0,2.73175048828125,0.42662757635116577,1.1807643175125122,0.6840277910232544
1,0.7184650301933289,0.8092203736305237,0.6552378535270691,0.8020833134651184
2,0.4403872787952423,0.8777503967285156,0.5521104335784912,0.8333333134651184
3,0.3215317726135254,0.9073004126548767,0.6408112645149231,0.8194444179534912
4,0.2520996332168579,0.9255939722061157,0.5178815722465515,0.8697916865348816
5,0.19486136734485626,0.9418202638626099,0.3620193302631378,0.9010416865348816
6,0.17042027413845062,0.9474272727966309,0.4144507944583893,0.8854166865348816
7,0.14190773665905,0.9562342762947083,0.36064475774765015,0.8958333134651184
8,0.11945445835590363,0.9622660279273987,0.33540764451026917,0.9114583134651184
9,0.10942467302083969,0.9653527140617371,0.3026388883590698,0.9201388955116272
10,0.09907693415880203,0.9688358306884766,0.39433181285858154,0.9027777910232544
11,0.08634088188409805,0.9721065759658813,0.2705036401748657,0.9270833134651184
12,0.07263373583555222,0.9767791032791138,0.4423138201236725,0.8923611044883728
13,0.08097944408655167,0.9748534560203552,0.25394126772880554,0.9427083134651184
14,0.06370611488819122,0.9803755283355713,0.39217934012413025,0.9236111044883728
